"Time","Розетка","Фокстрот","Епіцентр К","Prom.ua","Tabletki.ua","OLX"
"2004-01-01",0,7,0,0,0,0
"2004-02-01",0,5,0,0,0,0
"2004-03-01",0,0,0,0,0,0
"2004-04-01",0,4,0,0,0,0
"2004-05-01",0,5,0,0,0,0
"2004-06-01",0,8,0,0,0,0
"2004-07-01",0,10,0,0,0,0
"2004-08-01",0,7,0,0,0,0
"2004-09-01",0,6,4,0,0,0
"2004-10-01",0,6,0,0,0,0
"2004-11-01",0,7,3,0,0,0
"2004-12-01",0,10,0,0,0,0
"2005-01-01",0,7,0,0,0,0
"2005-02-01",0,7,0,2,0,0
"2005-03-01",0,8,3,0,0,0
"2005-04-01",0,7,2,0,0,0
"2005-05-01",0,7,4,0,0,0
"2005-06-01",0,8,4,0,0,0
"2005-07-01",0,8,5,0,0,0
"2005-08-01",0,11,7,0,0,0
"2005-09-01",0,11,4,0,0,0
"2005-10-01",0,9,4,0,0,0
"2005-11-01",0,8,4,0,0,0
"2005-12-01",0,15,4,0,0,0
"2006-01-01",0,9,5,0,0,0
"2006-02-01",0,8,5,0,0,0
"2006-03-01",0,5,3,0,0,0
"2006-04-01",0,6,3,0,0,0
"2006-05-01",0,8,6,0,0,0
"2006-06-01",0,9,6,0,0,0
"2006-07-01",0,8,7,0,0,0
"2006-08-01",0,13,6,0,0,0
"2006-09-01",1,12,6,0,0,0
"2006-10-01",0,11,7,0,0,0
"2006-11-01",0,13,5,0,0,0
"2006-12-01",1,16,6,0,0,0
"2007-01-01",2,10,5,0,0,0
"2007-02-01",1,10,6,1,0,0
"2007-03-01",2,11,6,1,0,0
"2007-04-01",3,8,6,0,0,0
"2007-05-01",2,10,7,0,0,0
"2007-06-01",4,9,8,0,0,0
"2007-07-01",3,11,10,0,0,0
"2007-08-01",4,12,9,1,0,0
"2007-09-01",5,11,7,0,0,0
"2007-10-01",5,10,7,0,0,0
"2007-11-01",5,12,8,1,0,0
"2007-12-01",6,16,7,0,0,0
"2008-01-01",6,10,7,0,0,0
"2008-02-01",6,9,7,0,0,0
"2008-03-01",7,10,7,0,0,0
"2008-04-01",7,8,7,1,0,0
"2008-05-01",8,8,8,0,0,0
"2008-06-01",8,9,8,0,0,0
"2008-07-01",8,11,9,1,0,0
"2008-08-01",10,10,9,0,0,0
"2008-09-01",10,10,8,1,0,0
"2008-10-01",11,9,6,0,0,0
"2008-11-01",11,8,7,0,0,0
"2008-12-01",12,13,7,0,0,0
"2009-01-01",11,8,6,0,0,0
"2009-02-01",11,7,6,1,0,0
"2009-03-01",14,7,6,0,0,0
"2009-04-01",13,6,7,0,0,0
"2009-05-01",11,6,7,0,0,0
"2009-06-01",14,8,7,0,0,0
"2009-07-01",15,8,8,0,0,0
"2009-08-01",16,9,8,0,0,0
"2009-09-01",17,9,7,0,0,0
"2009-10-01",17,8,7,0,0,0
"2009-11-01",19,10,7,1,0,0
"2009-12-01",29,14,9,0,0,0
"2010-01-01",24,9,6,1,0,0
"2010-02-01",24,9,6,1,0,0
"2010-03-01",25,9,7,1,0,0
"2010-04-01",24,6,7,1,0,0
"2010-05-01",25,7,8,1,0,0
"2010-06-01",29,8,10,1,0,0
"2010-07-01",32,9,10,1,0,0
"2010-08-01",37,11,10,1,0,0
"2010-09-01",39,9,8,1,0,0
"2010-10-01",41,9,7,1,0,0
"2010-11-01",44,11,8,1,0,0
"2010-12-01",56,17,8,1,0,0
"2011-01-01",54,10,6,1,0,0
"2011-02-01",53,8,6,1,0,0
"2011-03-01",50,8,6,1,0,0
"2011-04-01",52,7,8,1,0,0
"2011-05-01",49,7,8,1,0,0
"2011-06-01",51,8,9,1,0,0
"2011-07-01",61,10,9,1,0,0
"2011-08-01",68,10,10,1,0,0
"2011-09-01",73,12,11,1,0,0
"2011-10-01",70,13,8,2,0,0
"2011-11-01",71,10,8,2,0,0
"2011-12-01",88,15,10,1,0,0
"2012-01-01",75,9,8,2,0,0
"2012-02-01",73,8,7,2,0,0
"2012-03-01",72,7,8,2,0,0
"2012-04-01",66,6,8,2,0,0
"2012-05-01",57,7,8,2,0,0
"2012-06-01",60,8,9,2,0,0
"2012-07-01",69,10,10,2,0,0
"2012-08-01",70,11,9,2,0,0
"2012-09-01",73,9,8,5,0,0
"2012-10-01",69,9,8,4,0,0
"2012-11-01",77,12,8,3,0,0
"2012-12-01",91,18,10,3,0,0
"2013-01-01",83,11,8,3,0,0
"2013-02-01",79,9,7,4,0,0
"2013-03-01",72,9,8,4,0,0
"2013-04-01",66,7,11,4,0,0
"2013-05-01",63,8,11,4,0,0
"2013-06-01",73,10,11,4,0,0
"2013-07-01",77,9,11,4,0,0
"2013-08-01",80,10,11,4,0,0
"2013-09-01",83,14,10,4,0,0
"2013-10-01",83,10,10,4,0,0
"2013-11-01",81,12,10,5,0,0
"2013-12-01",100,20,11,5,0,0
"2014-01-01",84,12,9,6,0,0
"2014-02-01",69,10,8,6,0,0
"2014-03-01",61,8,8,5,0,0
"2014-04-01",64,8,10,6,0,0
"2014-05-01",61,8,11,6,0,1
"2014-06-01",66,10,11,5,0,1
"2014-07-01",63,9,11,5,0,0
"2014-08-01",73,11,11,6,0,0
"2014-09-01",75,11,11,7,0,17
"2014-10-01",70,11,10,8,0,44
"2014-11-01",77,16,11,8,0,50
"2014-12-01",87,25,13,8,0,44
"2015-01-01",69,13,9,7,0,44
"2015-02-01",67,13,9,8,0,46
"2015-03-01",57,10,8,9,0,56
"2015-04-01",53,7,8,9,0,53
"2015-05-01",53,7,9,8,0,51
"2015-06-01",57,8,10,8,0,52
"2015-07-01",63,10,11,8,0,63
"2015-08-01",66,12,12,9,0,61
"2015-09-01",63,10,10,10,0,62
"2015-10-01",62,12,10,11,0,66
"2015-11-01",68,13,11,11,0,59
"2015-12-01",80,18,13,12,0,57
"2016-01-01",54,10,8,10,0,44
"2016-02-01",46,8,7,12,0,50
"2016-03-01",44,7,8,11,0,48
"2016-04-01",39,6,9,11,0,48
"2016-05-01",40,7,9,10,0,45
"2016-06-01",46,8,11,10,0,44
"2016-07-01",47,9,11,10,0,43
"2016-08-01",50,10,11,11,0,46
"2016-09-01",47,9,9,12,0,44
"2016-10-01",48,11,9,13,0,43
"2016-11-01",57,13,9,5,0,41
"2016-12-01",60,18,11,3,0,39
"2017-01-01",48,11,8,0,0,37
"2017-02-01",43,9,8,0,0,39
"2017-03-01",41,8,8,0,0,38
"2017-04-01",39,7,9,0,0,38
"2017-05-01",38,7,10,0,0,37
"2017-06-01",42,8,12,0,0,39
"2017-07-01",45,10,11,0,0,40
"2017-08-01",47,11,14,0,0,39
"2017-09-01",48,11,10,0,0,41
"2017-10-01",49,12,11,0,0,40
"2017-11-01",57,16,13,0,0,37
"2017-12-01",63,17,14,0,0,34
"2018-01-01",51,13,11,0,0,35
"2018-02-01",47,10,9,0,0,33
"2018-03-01",44,10,10,3,0,33
"2018-04-01",40,7,11,3,0,30
"2018-05-01",43,8,12,4,0,29
"2018-06-01",42,9,13,4,0,28
"2018-07-01",44,10,14,5,0,28
"2018-08-01",46,11,15,4,0,31
"2018-09-01",43,10,12,3,0,27
"2018-10-01",41,11,13,3,0,26
"2018-11-01",56,16,15,4,0,26
"2018-12-01",55,14,16,5,0,25
"2019-01-01",47,10,12,12,0,25
"2019-02-01",40,8,12,16,0,25
"2019-03-01",37,8,13,15,0,25
"2019-04-01",35,7,14,15,0,23
"2019-05-01",36,7,15,15,0,24
"2019-06-01",39,10,17,15,0,25
"2019-07-01",38,10,16,15,0,24
"2019-08-01",39,10,19,15,0,24
"2019-09-01",38,10,15,20,0,26
"2019-10-01",38,11,15,22,0,24
"2019-11-01",51,15,19,24,1,24
"2019-12-01",49,16,20,24,0,24
"2020-01-01",37,11,22,21,1,23
"2020-02-01",34,10,20,20,1,24
"2020-03-01",38,9,32,20,3,22
"2020-04-01",46,10,37,23,7,24
"2020-05-01",41,12,38,25,4,27
"2020-06-01",43,13,36,22,1,28
"2020-07-01",41,13,35,21,1,27
"2020-08-01",41,13,38,19,1,27
"2020-09-01",41,13,33,17,1,26
"2020-10-01",39,14,33,17,0,25
"2020-11-01",55,23,50,21,0,24
"2020-12-01",55,20,46,21,0,22
"2021-01-01",42,14,49,18,1,24
"2021-02-01",40,12,36,16,2,24
"2021-03-01",36,11,37,16,2,25
"2021-04-01",37,10,43,15,2,22
"2021-05-01",33,10,38,14,2,22
"2021-06-01",38,11,41,13,2,22
"2021-07-01",35,12,42,14,2,22
"2021-08-01",34,12,44,14,2,23
"2021-09-01",27,11,38,14,2,22
"2021-10-01",19,11,37,15,3,22
"2021-11-01",2,16,41,17,2,22
"2021-12-01",41,13,45,19,2,21
"2022-01-01",36,12,39,17,2,24
"2022-02-01",33,8,30,10,3,19
"2022-03-01",21,6,23,5,2,15
"2022-04-01",30,7,28,7,2,20
"2022-05-01",33,7,36,11,2,25
"2022-06-01",12,8,42,13,2,27
"2022-07-01",2,9,43,12,2,27
"2022-08-01",2,9,44,13,2,27
"2022-09-01",1,8,40,13,2,25
"2022-10-01",1,8,38,12,2,25
"2022-11-01",1,10,44,12,2,25
"2022-12-01",2,9,43,16,2,25
"2023-01-01",1,7,34,13,3,23
"2023-02-01",1,6,30,12,10,23
"2023-03-01",1,6,34,11,13,24
"2023-04-01",1,5,35,9,16,22
"2023-05-01",1,5,38,11,13,22
"2023-06-01",2,6,40,11,9,23
"2023-07-01",2,7,41,14,9,23
"2023-08-01",2,7,44,15,4,24
"2023-09-01",2,7,39,14,3,22
"2023-10-01",1,7,40,15,3,21
"2023-11-01",2,10,45,16,8,20
"2023-12-01",19,9,44,17,10,20
"2024-01-01",41,7,34,15,13,21
"2024-02-01",36,6,35,14,13,20
"2024-03-01",5,6,36,13,13,21
"2024-04-01",2,5,39,13,14,20
"2024-05-01",1,5,37,12,16,19
"2024-06-01",2,6,42,13,16,20
"2024-07-01",4,8,46,14,18,20
"2024-08-01",2,6,42,15,19,21
"2024-09-01",2,7,39,14,18,20
"2024-10-01",2,6,36,14,18,19
"2024-11-01",2,8,38,15,19,20
"2024-12-01",3,8,37,17,18,18
"2025-01-01",2,6,33,15,19,20
"2025-02-01",5,5,32,15,21,19
"2025-03-01",3,6,34,16,21,19
"2025-04-01",3,5,37,15,19,19
"2025-05-01",2,5,37,14,18,19
"2025-06-01",3,6,36,15,18,18
"2025-07-01",3,6,39,15,18,18
"2025-08-01",3,6,40,15,19,20
"2025-09-01",2,7,36,15,20,19
"2025-10-01",3,7,37,16,19,18
"2025-11-01",3,10,41,16,19,18
"2025-12-01",3,8,40,16,20,17
"2026-01-01",3,6,35,16,19,17
"2026-02-01",2,6,31,14,19,15
"2026-03-01",4,5,35,15,20,17